Energy(MeV)	LaCl\d3\n:Ce(SEB 347)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q489)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (Q491)	Uncertainty	Energy (MeV)	LaBr\d3\n:Ce (2987)	Uncertainty
2.6230	0.37813	0.13587	1.0460	1.7621	0.23180	1.0460	2.2049	0.32037	0.95500	2.4724	0.28310
2.6800	0.35022	0.12584	1.0580	1.7121	0.22528	1.0580	2.0645	0.30002	0.96400	2.3150	0.26512
2.7380	0.32226	0.11579	1.0700	1.6710	0.21991	1.0700	2.0363	0.29598	0.97300	2.3662	0.27100
2.7960	0.29823	0.10716	1.0820	1.7407	0.22913	1.0820	2.1328	0.31006	0.98100	2.2986	0.26329
2.8550	0.27584	0.099115	1.0930	1.7369	0.22869	1.0930	2.0837	0.30297	0.99000	2.1652	0.24805
2.9140	0.25662	0.092207	1.1050	1.6995	0.22382	1.1050	2.1495	0.31261	0.99900	2.1480	0.24611
2.9740	0.23691	0.085126	1.1170	1.7237	0.22707	1.1170	2.1685	0.31544	1.0080	2.0968	0.24028
3.0350	0.22051	0.079235	1.1290	1.7012	0.22417	1.1290	2.1357	0.31075	1.0170	2.0815	0.23857
3.0960	0.20297	0.072930	1.1410	1.6290	0.21471	1.1410	2.0536	0.29886	1.0260	2.0595	0.23608
3.1580	0.18431	0.066227	1.1540	1.6218	0.21385	1.1540	2.0193	0.29397	1.0350	2.0232	0.23196
3.2210	0.16975	0.060996	1.1660	1.6503	0.21767	1.1660	2.0798	0.30285	1.0440	1.9824	0.22732
3.2840	0.15774	0.056679	1.1780	1.6485	0.21752	1.1780	2.0820	0.30327	1.0530	1.9068	0.21869
3.3470	0.14576	0.052374	1.1900	1.6048	0.21183	1.1900	2.0005	0.29148	1.0620	1.8900	0.21680
3.4120	0.13503	0.048520	1.2030	1.5865	0.20951	1.2030	1.9903	0.29010	1.0710	1.8775	0.21542
3.4770	0.12599	0.045272	1.2150	1.5621	0.20637	1.2150	1.9674	0.28686	1.0800	1.8669	0.21425
3.5420	0.11547	0.041491	1.2280	1.4795	0.19556	1.2280	1.9121	0.27891	1.0890	1.9713	0.22628
3.6080	0.10489	0.037689	1.2410	1.4713	0.19458	1.2410	1.8517	0.27022	1.0980	1.9119	0.21952
3.6750	0.095547	0.034333	1.2540	1.4768	0.19541	1.2540	1.8427	0.26902	1.1080	1.9509	0.22405
3.7430	0.086849	0.031207	1.2660	1.4433	0.19108	1.2660	1.7213	0.25142	1.1170	2.0541	0.23596
3.8110	0.080405	0.028892	1.2790	1.3906	0.18423	1.2790	1.6251	0.23749	1.1260	1.9267	0.22139
3.8790	0.073096	0.026266	1.2920	1.4027	0.18595	1.2920	1.6044	0.23459	1.1360	1.9140	0.22000
3.9490	0.066441	0.023874	1.3050	1.3924	0.18472	1.3050	1.5837	0.23170	1.1450	1.9930	0.22915
4.0190	0.061825	0.022216	1.3180	1.3127	0.17426	1.3180	1.4930	0.21857	1.1540	1.8975	0.21824
4.0890	0.056465	0.020290	1.3320	1.2728	0.16911	1.3320	1.4960	0.21915	1.1640	1.9197	0.22087
4.1600	0.051475	0.018497	1.3450	1.3004	0.17292	1.3450	1.4454	0.21189	1.1730	1.9276	0.22186
4.2320	0.047125	0.016934	1.3580	1.2427	0.16540	1.3580	1.4575	0.21382	1.1830	1.9158	0.22059
4.3040	0.042668	0.015332	1.3710	1.2262	0.16336	1.3710	1.2169	0.17867	1.1920	1.8789	0.21641
4.3770	0.038131	0.013702	1.3850	1.2442	0.16594	1.3850	1.2390	0.18207	1.2020	1.8285	0.21071
4.4510	0.034849	0.012523	1.3980	1.2000	0.16022	1.3980	1.1623	0.17094	1.2120	1.8001	0.20752
4.5250	0.032115	0.011540	1.4120	1.1595	0.15500	1.4120	1.1692	0.17214	1.2210	1.8570	0.21418
4.6000	0.028927	0.010395	1.4260	1.1558	0.15470	1.4260	1.2443	0.18339	1.2310	1.7602	0.20312
4.6760	0.026217	0.0094209	1.4400	1.2056	0.16159	1.4400	1.2890	0.19019	1.2410	1.8086	0.20881
4.7520	0.024141	0.0086750	1.4530	1.1688	0.15687	1.4530	1.2232	0.18069	1.2500	1.6313	0.18844
4.8280	0.021654	0.0077812	1.4670	1.1633	0.15637	1.4670	1.1901	0.17602	1.2600	1.5412	0.17813
4.9060	0.019539	0.0070213	1.4810	1.1416	0.15371	1.4810	1.2264	0.18163	1.2700	1.5416	0.17828
4.9840	0.017696	0.0063590	1.4950	1.1057	0.14913	1.4950	1.1727	0.17393	1.2800	1.5416	0.17839
5.0620	0.016257	0.0058418	1.5090	1.0874	0.14694	1.5090	1.1316	0.16809	1.2900	1.5103	0.17489
5.1410	0.014447	0.0051916	1.5240	1.0587	0.14335	1.5240	1.1603	0.17265	1.3000	1.4898	0.17264
5.2210	0.012915	0.0046411	1.5380	1.0403	0.14115	1.5380	1.1576	0.17253	1.3100	1.4042	0.16283
5.3020	0.011568	0.0041571	1.5530	1.0522	0.14310	1.5530	1.1269	0.16828	1.3200	1.3711	0.15911
5.3830	0.010599	0.0038089	1.5670	1.0466	0.14267	1.5670	1.1420	0.17087	1.3300	1.3552	0.15740
5.4640	0.0094351	0.0033906	1.5820	1.0377	0.14182	1.5820	1.1508	0.17257	1.3400	1.3124	0.15255
5.5470	0.0085086	0.0030576	1.5960	1.0340	0.14168	1.5960	1.1272	0.16939	1.3500	1.3109	0.15251
5.6290	0.0077188	0.0027738	1.6110	1.0093	0.13870	1.6110	1.1183	0.16846	1.3600	1.2931	0.15058
5.7130	0.0069298	0.0024903	1.6250	1.0442	0.14392	1.6250	1.1048	0.16682	1.3700	1.2889	0.15023
5.7970	0.0062526	0.0022470	1.6400	0.99898	0.13813	1.6400	1.0533	0.15948	1.3800	1.2490	0.14572
5.8820	0.0056396	0.0020267	1.6550	1.0045	0.13938	1.6550	1.0900	0.16552	1.3910	1.2570	0.14682
5.9670	0.0050624	0.0018193	1.6700	0.98822	0.13762	1.6700	1.0843	0.16515	1.4010	1.3120	0.15341
6.0530	0.0045312	0.0016284	1.6850	0.99510	0.13911	1.6850	1.0755	0.16434	1.4110	1.2460	0.14586
6.1400	0.0040786	0.0014657	1.7000	0.93555	0.13132	1.7000	1.0390	0.15932	1.4220	1.2272	0.14384
6.2270	0.0036340	0.0013060	1.7150	0.94450	0.13315	1.7150	0.99522	0.15315	1.4320	1.2437	0.14596
6.3150	0.0032195	0.0011570	1.7310	0.95788	0.13569	1.7310	1.0390	0.16054	1.4420	1.1616	0.13650
6.4030	0.0029152	0.0010476	1.7460	0.98497	0.14020	1.7460	1.0219	0.15853	1.4530	1.1569	0.13615
6.4920	0.0026253	0.00094348	1.7610	0.95393	0.13647	1.7610	1.0797	0.16821	1.4630	1.1433	0.13474
6.5820	0.0023241	0.00083526	1.7760	0.90322	0.12990	1.7760	0.98669	0.15441	1.4740	1.0811	0.12761
6.6720	0.0020819	0.00074819	1.7920	0.89935	0.13012	1.7920	0.97855	0.15391	1.4840	1.0734	0.12690
6.7630	0.0018785	0.00067512	1.8080	0.88381	0.12867	1.8080	0.91488	0.14466	1.4950	1.0471	0.12401
6.8550	0.0016774	0.00060285	1.8240	0.88769	0.13009	1.8240	0.90798	0.14437	1.5060	1.0321	0.12246
6.9470	0.0015155	0.00054468	1.8390	0.90792	0.13392	1.8390	0.91653	0.14653	1.5270	1.0778	0.12838
			1.8550	0.86661	0.12876	1.8550	0.83373	0.13413	1.5490	1.0721	0.12824
